Machine Module SVA1032X
Trace Name,Trace A
3.128500e+09,-2.139058e+01
3.128750e+09,-2.145912e+01
3.129000e+09,-2.242820e+01
3.129250e+09,-2.161256e+01
3.129500e+09,-2.143063e+01
3.129750e+09,-2.091595e+01
3.130000e+09,-2.112045e+01
3.130250e+09,-2.102186e+01
3.130500e+09,-2.157599e+01
3.130750e+09,-2.136047e+01
3.131000e+09,-1.896029e+01
3.131250e+09,-1.854097e+01
3.131500e+09,-1.851763e+01
3.131750e+09,-1.825898e+01
3.132000e+09,-1.820133e+01
3.132250e+09,-1.870763e+01
3.132500e+09,-1.741169e+01
3.132750e+09,-1.804518e+01
3.133000e+09,-1.889419e+01
3.133250e+09,-1.802618e+01
3.133500e+09,-1.768298e+01
3.133750e+09,-1.719957e+01
3.134000e+09,-1.837930e+01
3.134250e+09,-1.868027e+01
3.134500e+09,-1.825421e+01
3.134750e+09,-1.828258e+01
3.135000e+09,-1.842783e+01
3.135250e+09,-1.768532e+01
3.135500e+09,-1.796497e+01
3.135750e+09,-1.744963e+01
3.136000e+09,-1.722478e+01
3.136250e+09,-1.831664e+01
3.136500e+09,-1.893561e+01
3.136750e+09,-1.961216e+01
3.137000e+09,-1.993251e+01
3.137250e+09,-2.150892e+01
3.137500e+09,-2.190698e+01
3.137750e+09,-2.078224e+01
3.138000e+09,-2.066789e+01
3.138250e+09,-2.191193e+01
3.138500e+09,-2.338905e+01
3.138750e+09,-2.098905e+01
3.139000e+09,-2.254029e+01
3.139250e+09,-2.483079e+01
3.139500e+09,-2.256377e+01
3.139750e+09,-2.246794e+01
3.140000e+09,-2.274110e+01
3.140250e+09,-2.151765e+01
3.140500e+09,-2.043860e+01
3.140750e+09,-2.061657e+01
3.141000e+09,-2.143706e+01
3.141250e+09,-2.199295e+01
3.141500e+09,-2.345382e+01
3.141750e+09,-2.245493e+01
3.142000e+09,-2.046228e+01
3.142250e+09,-2.360776e+01
3.142500e+09,-2.502885e+01
3.142750e+09,-2.386735e+01
3.143000e+09,-2.185613e+01
3.143250e+09,-2.584018e+01
3.143500e+09,-2.233364e+01
3.143750e+09,-2.319598e+01
3.144000e+09,-2.358701e+01
3.144250e+09,-2.284556e+01
3.144500e+09,-2.168420e+01
3.144750e+09,-2.330925e+01
3.145000e+09,-1.956144e+01
3.145250e+09,-2.056471e+01
3.145500e+09,-2.148749e+01
3.145750e+09,-2.117635e+01
3.146000e+09,-2.158399e+01
3.146250e+09,-2.096927e+01
3.146500e+09,-2.102141e+01
3.146750e+09,-2.144107e+01
3.147000e+09,-2.067807e+01
3.147250e+09,-2.154753e+01
3.147500e+09,-2.153646e+01
3.147750e+09,-1.989786e+01
3.148000e+09,-1.990345e+01
3.148250e+09,-2.108937e+01
3.148500e+09,-2.042855e+01
3.148750e+09,-2.329327e+01
3.149000e+09,-2.000317e+01
3.149250e+09,-2.051995e+01
3.149500e+09,-2.284676e+01
3.149750e+09,-2.091757e+01
3.150000e+09,-2.191145e+01
